ObjectID,Plot,Species,DBH (cm) 2021
205,Plot1,ABBA,15.3
206,Plot2,ABBA,15.8
207,Plot3,ABBA,14.8
208,Plot4,UNSW,35.5
209,Plot5,PIRU,
210,Plot6,PIRU,
211,Plot7,PIRU,
212,Plot8,ABBA,23.4
213,Plot9,ABBA,22.9
214,Plot10,ABBA,20.6
215,Plot11,ABBA,11.5
216,Plot12,ABBA,29.4
217,Plot1,ABBA,19.6
218,Plot2,ABBA,11.3
219,Plot3,PRPE,11.3
220,Plot4,ACRU,25.2
221,Plot5,ACRU,18.9
222,Plot6,ACRU,11.1
223,Plot7,ACRU,22.4
224,Plot8,ABBA,19.1
225,Plot9,ABBA,14
226,Plot10,ABBA,19.7
227,Plot11,PRSE,10.2
228,Plot12,ABBA,15.1
229,Plot1,ABBA,15.5
230,Plot2,PRSE,11.1
231,Plot3,ABBA,12.5
232,Plot4,PIRU,35.2
233,Plot5,ABBA,18.1
234,Plot6,ABBA,16
235,Plot7,ABBA,17.8
236,Plot8,ABBA,17.4
237,Plot9,ABBA,19.1
238,Plot10,ABBA,21.7
239,Plot11,UNSW,18
240,Plot12,PRSE,11
241,Plot1,ABBA,13.5
242,Plot2,ABBA,20.2
243,Plot3,ABBA,19.8
244,Plot4,PRPE,14.6
245,Plot5,ABBA,22.5
246,Plot6,ABBA,17.5
247,Plot7,ABBA,21.1
248,Plot8,ABBA,20.9
249,Plot9,ABBA,23.5
250,Plot10,ABBA,19.1
251,Plot11,ABBA,23.8
252,Plot12,ABBA,24.4
253,Plot1,ABBA,17.9
254,Plot2,ACRU,14.4
255,Plot3,ABBA,18
256,Plot4,BEPA,12
257,Plot5,BEPA,11.5
258,Plot6,ABBA,11
259,Plot7,ABBA,12.6
260,Plot8,ABBA,18.2
261,Plot9,ABBA,14.1
262,Plot10,ABBA,12.9
263,Plot11,ABBA,11.8
264,Plot12,ABBA,16.7
265,Plot1,POTR,23.2
266,Plot2,ABBA,12.7
267,Plot3,BEPA,13.4
268,Plot4,ACRU,29.8
269,Plot5,ACRU,24.7
270,Plot6,ACRU,12.2
271,Plot7,ABBA,16
272,Plot8,ABBA,11.6
273,Plot9,ABBA,14.6
274,Plot10,ABBA,12.1
275,Plot11,ABBA,12.8
276,Plot12,ABBA,11.6
277,Plot1,ABBA,12.2
278,Plot2,ABBA,14.2
279,Plot3,ABBA,21.2
280,Plot4,ABBA,19.5
281,Plot5,ABBA,12.1
282,Plot6,ABBA,17.6
283,Plot7,ABBA,10.3
284,Plot8,ABBA,19.6
285,Plot9,ABBA,13.2
286,Plot10,ABBA,10.3
287,Plot11,ABBA,12
288,Plot12,ABBA,15
289,Plot1,ABBA,12.9
290,Plot2,ABBA,10.4
291,Plot3,ABBA,11.9
292,Plot4,ABBA,12.2
293,Plot5,ABBA,14.1
294,Plot6,ACRU,
295,Plot7,ABBA,10.9
296,Plot8,ABBA,13.5
297,Plot9,ABBA,16.2
298,Plot10,ABBA,13.9
299,Plot11,ABBA,16
300,Plot12,ABBA,15.7
301,Plot1,ABBA,13.6
302,Plot2,ABBA,10.8
303,Plot3,UNSW,31.2
304,Plot4,ABBA,15.4
305,Plot5,PIRU,21.6
306,Plot6,ABBA,14.3
307,Plot7,ACRU,11
308,Plot8,ACRU,18.2
309,Plot9,ACRU,11.2
310,Plot10,ABBA,12.2
311,Plot11,ABBA,14.3
312,Plot12,ABBA,13.9
313,Plot1,ABBA,12.9
314,Plot2,ABBA,18.9
315,Plot3,PIRU,23.2
316,Plot4,ABBA,10.6
317,Plot5,ABBA,15.8
318,Plot6,BEAL,16.8
319,Plot7,POTR,12.2
320,Plot8,BEPA,10.6
321,Plot9,ABBA,15
322,Plot10,ABBA,15.4
323,Plot11,UNSW,
324,Plot12,UNSW,
325,Plot1,ABBA,11.2
326,Plot2,BEPO,10.2
327,Plot3,ABBA,20
328,Plot4,BEPA,13.5
329,Plot5,ABBA,17.7
330,Plot6,ABBA,15.9
331,Plot7,ABBA,14.3
332,Plot8,ABBA,12
333,Plot9,BEPA,12.1
334,Plot10,ABBA,11
335,Plot11,PRPE,10.6
336,Plot12,ABBA,16
337,Plot1,BEPA,15.1
338,Plot2,ABBA,21
339,Plot3,ACRU,11.5
340,Plot4,UNK,18.5
341,Plot5,UNK,18.5
342,Plot6,UNK,25.5
343,Plot7,UNK,38.5
344,Plot8,ABBA,13.5
345,Plot9,BEPO,11.2
346,Plot10,ABBA,15.5
347,Plot11,LALA,26.1
348,Plot12,ABBA,12.6
349,Plot1,UNK,23
350,Plot2,LALA,18
351,Plot3,ABBA,14.9
352,Plot4,ABBA,14.1
353,Plot5,PRSE,15.5
354,Plot6,ABBA,14.3
355,Plot7,ACRU,11.9
356,Plot8,ACRU,18
357,Plot9,ABBA,12.2
358,Plot10,ABBA,10.9
359,Plot11,ABBA,16.5
360,Plot12,ABBA,14.6
361,Plot1,ABBA,13.4
362,Plot2,ABBA,12.5
363,Plot3,ABBA,10.6
364,Plot4,ABBA,10.6
365,Plot5,UNK,31
366,Plot6,PIRU,12
367,Plot7,ABBA,16.6
368,Plot8,ABBA,11.5
369,Plot9,ABBA,14.6
370,Plot10,ABBA,13.7
371,Plot11,ABBA,18.3
372,Plot12,ABBA,17.7
373,Plot1,ACRU,15.8
374,Plot2,ACRU,12.6
375,Plot3,UNK,16
376,Plot4,ABBA,13.1
377,Plot5,ABBA,15
378,Plot6,PIRU,13.1
379,Plot7,ABBA,16.2
380,Plot8,ABBA,13.7
381,Plot9,ABBA,13.9
382,Plot10,ABBA,10.6
383,Plot11,ABBA,15.5
384,Plot12,ABBA,14.2
385,Plot1,ABBA,13.3
386,Plot2,ABBA,14
387,Plot3,ABBA,15.5
388,Plot4,UNK,35
389,Plot5,UNK,34
390,Plot6,UNK,32
391,Plot7,UNK,24
392,Plot8,LALA,38.2
393,Plot9,ABBA,10.6
394,Plot10,ABBA,12.3
395,Plot11,BEPO,10.3
396,Plot12,LALA,30.1
397,Plot1,LALA,24.9
398,Plot2,ACRU,11.4
399,Plot3,ACRU,10.8
400,Plot4,PIST,13.2
401,Plot5,ABBA,13.5
402,Plot6,ABBA,13.6
403,Plot7,ABBA,17
404,Plot8,ABBA,11.8
405,Plot9,ABBA,18.4
406,Plot10,LALA,30.4
407,Plot11,UNK,
408,Plot12,UNK,
409,Plot1,ABBA,17.2
410,Plot2,PRSE,12.5
411,Plot3,ABBA,11.4
412,Plot4,ABBA,27.4
413,Plot5,ABBA,20.6
414,Plot6,ABBA,27.9
415,Plot7,ABBA,20.3
416,Plot8,UNSW,11.5
417,Plot9,ABBA,19
418,Plot10,ABBA,17.2
419,Plot11,ABBA,15.5
420,Plot12,ABBA,10.5
421,Plot1,UNSW,19
422,Plot2,ABBA,13.2
423,Plot3,PIRU,21.6
424,Plot4,ABBA,13.2
425,Plot5,ABBA,11.1
426,Plot6,ABBA,18.7
427,Plot7,ABBA,11.7
428,Plot8,PRSE,11.4
429,Plot9,ABBA,12.2
430,Plot10,UNSW,41.7
431,Plot11,PRSE,11.4
432,Plot12,ABBA,11.7
433,Plot1,LALA,11.9
434,Plot2,PIRU,19.4
435,Plot3,ABBA,11.2
436,Plot4,ABBA,14.6
437,Plot5,ABBA,14
438,Plot6,UNSW,40.5
439,Plot7,PIRU,25.5
440,Plot8,ABBA,15.8
441,Plot9,ABBA,12.1
442,Plot10,PIRU,27.7
443,Plot11,UNSW,29
444,Plot12,UNSW,35
445,Plot1,ABBA,13.4
446,Plot2,ABBA,15.5
447,Plot3,ABBA,14.8
448,Plot4,ABBA,16.4
449,Plot5,UNSW,32
