ObjectID,Block,Plot ID ,Tree Number,Species,DBH (cm) 2021
3,1,1-T-1,3204,ABBA,10.6
56,1,1-T-1,3240,ABBA,11.9
6,1,1-T-1,3207,ABBA,11.4
9,1,1-T-1,3209,ABBA,14.4
12,1,1-T-1,3212,ABBA,12.1
17,1,1-T-1,3216,ABBA,12
25,1,1-T-1,3222,ABBA,13
39,1,1-T-1,3228,ABBA,12.8
4,1,1-T-1,3205,ABBA,10.3
28,1,1-T-1,3224,ABBA,14.3
40,1,1-T-1,3229,ABBA,17
42,1,1-T-1,3230,ABBA,15.8
46,1,1-T-1,3233,ABBA,10.9
58,1,1-T-1,3242,ABBA,11
64,1,1-T-1,3247,ABBA,10.5
71,1,1-T-1,3251,ABBA,15
53,1,1-T-1,3237,PIRU,15.9
68,1,1-T-1,3249,ABBA,12.6
14,1,1-T-1,3214,ABBA,14.4
5,1,1-T-1,3206,ABBA,15
8,1,1-T-1,3208,ABBA,12.6
50,1,1-T-1,3235,ABBA,10.6
63,1,1-T-1,3246,PIRU,16
10,1,1-T-1,3210,ABBA,14.3
60,1,1-T-1,3243,PIRU,15.8
61,1,1-T-1,3244,ABBA,13.3
13,1,1-T-1,3213,ABBA,11.5
24,1,1-T-1,3221,ABBA,14.7
45,1,1-T-1,3232,PIRU,16.3
48,1,1-T-1,3234,ABBA,14.5
21,1,1-T-1,3219,ABBA,12.5
22,1,1-T-1,3220,PIRU,23
44,1,1-T-1,3231,PIRU,22.2
62,1,1-T-1,3245,PIRU,23.2
54,1,1-T-1,3238,PIRU,16.8
1,1,1-T-1,3203,LALA,12.9
52,1,1-T-1,3236,PIRU,18.2
32,1,1-T-1,3225,PIRU,16.3
37,1,1-T-1,3227,PIRU,12.7
55,1,1-T-1,3239,PIRU,18.1
11,1,1-T-1,3211,ABBA,14.1
57,1,1-T-1,3241,PIRU,15.6
40,1,1-T-1,3446,ABBA,23.4
40,1,1-T-1,3447,ABBA,22.9
40,1,1-T-1,3448,ABBA,20.6
40,1,1-T-1,3449,ABBA,11.5
41,1,1-T-1,3450,ABBA,29.4
41,1,1-T-1,3451,ABBA,19.6
41,1,1-T-1,3452,ABBA,11.3
41,1,1-T-1,3453,PRPE,11.3
41,1,1-T-1,3454,ACRU,25.2
41,1,1-T-1,3455,ACRU,18.9
42,1,1-T-1,3456,ACRU,11.1
42,1,1-T-1,3457,ACRU,22.4
42,1,1-T-1,3458,ABBA,19.1
42,1,1-T-1,3459,ABBA,14
42,1,1-T-1,3460,ABBA,19.7
42,1,1-T-1,3461,PRSE,10.2
43,1,1-T-1,3462,ABBA,15.1
43,1,1-T-1,3463,ABBA,15.5
43,1,1-T-1,3464,PRSE,11.1
43,1,1-T-1,3465,ABBA,12.5
43,1,1-T-1,3466,PIRU,35.2
43,1,1-T-1,3467,ABBA,18.1
44,1,1-T-1,3468,ABBA,16
44,1,1-T-1,3469,ABBA,17.8
44,1,1-T-1,3470,ABBA,17.4
44,1,1-T-1,3471,ABBA,19.1
44,1,1-T-1,3472,ABBA,21.7
45,1,1-T-1,3473,PRSE,11
45,1,1-T-1,3474,ABBA,13.5
45,1,1-T-1,3475,ABBA,20.2
45,1,1-T-1,3476,ABBA,19.8
45,1,1-T-1,3477,PRPE,14.6
45,1,1-T-1,3478,ABBA,22.5
46,1,1-T-1,3479,ABBA,17.5
46,1,1-T-1,3480,ABBA,21.1
46,1,1-T-1,3481,ABBA,20.9
46,1,1-T-1,3482,ABBA,23.5
46,1,1-T-1,3483,ABBA,19.1
46,1,1-T-1,3484,ABBA,23.8
47,1,1-T-1,3485,ABBA,24.4
47,1,1-T-1,3486,ABBA,17.9
