ObjectID,Block,Plot ID ,Tree Number,Species,DBH (cm) 2021
4,1,1-T-3,3254,ABBA,11.1
9,1,1-T-3,3259,PIRU,11.4
10,1,1-T-3,3260,LALA,10.8
19,1,1-T-3,3266,PIRU,14.3
24,1,1-T-3,3271,PIRU,18.5
26,1,1-T-3,3272,PIRU,13.6
31,1,1-T-3,3275,PIRU,17
35,1,1-T-3,3278,ABBA,13.7
57,1,1-T-3,3295,ABBA,14
17,1,1-T-3,3264,PIRU,17.1
2,1,1-T-3,3253,ABBA,13
5,1,1-T-3,3255,LALA,12
8,1,1-T-3,3258,ABBA,12.4
21,1,1-T-3,3268,PIRU,12.8
29,1,1-T-3,3274,PIRU,14.3
36,1,1-T-3,3279,ABBA,11.6
70,1,1-T-3,4005,ABBA,15.8
33,1,1-T-3,3276,PIRU,18.7
58,1,1-T-3,3296,ABBA,19.2
54,1,1-T-3,3292,ACRU,12.4
11,1,1-T-3,3261,PIRU,18.1
12,1,1-T-3,3262,ABBA,12.8
18,1,1-T-3,3265,ABBA,11.3
71,1,1-T-3,4006,ABBA,14.8
40,1,1-T-3,3282,PIRU,17.7
65,1,1-T-3,4801,ABBA,11.2
76,1,1-T-3,4802,BEPO,10.2
87,1,1-T-3,4803,ABBA,20
98,1,1-T-3,4804,BEPA,13.5
109,1,1-T-3,4805,ABBA,17.7
120,1,1-T-3,4806,ABBA,15.9
131,1,1-T-3,4807,ABBA,14.3
142,1,1-T-3,4808,ABBA,12
153,1,1-T-3,4809,BEPA,12.1
164,1,1-T-3,4810,ABBA,11
175,1,1-T-3,4811,PRPE,10.6
186,1,1-T-3,4812,ABBA,16
197,1,1-T-3,4813,BEPA,15.1
208,1,1-T-3,4814,ABBA,21
219,1,1-T-3,4815,ACRU,11.5
230,1,1-T-3,4816,ABBA,13.5
241,1,1-T-3,4817,BEPO,11.2
252,1,1-T-3,4818,ABBA,15.5
263,1,1-T-3,4819,LALA,26.1
274,1,1-T-3,4820,ABBA,12.6
285,1,1-T-3,4821,LALA,18
296,1,1-T-3,4822,ABBA,14.9
307,1,1-T-3,4823,ABBA,14.1
318,1,1-T-3,4824,PRSE,15.5
329,1,1-T-3,4825,ABBA,14.3
340,1,1-T-3,4826,ACRU,11.9
351,1,1-T-3,4827,ABBA,12.2
362,1,1-T-3,4828,ABBA,10.9
373,1,1-T-3,4829,ABBA,16.5
384,1,1-T-3,4830,ABBA,14.6
395,1,1-T-3,4831,ABBA,13.4
406,1,1-T-3,4832,ABBA,12.5
417,1,1-T-3,4833,ABBA,10.6
428,1,1-T-3,4834,ABBA,10.6
439,1,1-T-3,4835,PIRU,12
450,1,1-T-3,4836,ABBA,16.6
461,1,1-T-3,4837,ABBA,11.5
472,1,1-T-3,4838,ABBA,14.6
483,1,1-T-3,4839,ABBA,13.7
494,1,1-T-3,4840,ABBA,18.3
505,1,1-T-3,4841,ABBA,17.7
516,1,1-T-3,4842,ACRU,15.8
527,1,1-T-3,4843,ACRU,12.6
538,1,1-T-3,4844,ABBA,13.1
549,1,1-T-3,4845,ABBA,15
560,1,1-T-3,4846,PIRU,13.1
571,1,1-T-3,4847,ABBA,16.2
582,1,1-T-3,4848,ABBA,13.7
593,1,1-T-3,4849,ABBA,13.9
604,1,1-T-3,4850,ABBA,10.6
615,1,1-T-3,4851,ABBA,15.5
626,1,1-T-3,4852,ABBA,14.2
637,1,1-T-3,4853,ABBA,13.3
648,1,1-T-3,4854,ABBA,14
659,1,1-T-3,4855,ABBA,15.5
670,1,1-T-3,4856,LALA,38.2
681,1,1-T-3,4857,ABBA,10.6
692,1,1-T-3,4858,ABBA,12.3
703,1,1-T-3,4859,BEPO,10.3
714,1,1-T-3,4860,LALA,30.1
725,1,1-T-3,4861,LALA,24.9
736,1,1-T-3,4862,ACRU,11.4
747,1,1-T-3,4863,ACRU,10.8
758,1,1-T-3,4864,PIST,13.2
769,1,1-T-3,4865,ABBA,13.5
780,1,1-T-3,4866,ABBA,13.6
791,1,1-T-3,4867,ABBA,17
802,1,1-T-3,4868,ABBA,11.8
813,1,1-T-3,4869,ABBA,18.4
824,1,1-T-3,4870,LALA,30.4
